wals code,name,value,description,latitude,longitude,genus,family,area
nyu,Nyulnyul,2,Absent,-17,122.8333333,Nyulnyulan,Nyulnyulan,Simple Clauses
ond,Oneida,2,Absent,43,-75.66666667,Northern Iroquoian,Iroquoian,Simple Clauses
orh,Oromo (Harar),2,Absent,9,42,Lowland East Cushitic,Afro-Asiatic,Simple Clauses
oss,Ossetic,1,Present,43,44,Iranian,Indo-European,Simple Clauses
otm,Otomí (Mezquital),2,Absent,20.16666667,-99.16666667,Otomian,Oto-Manguean,Simple Clauses
pms,Paamese,2,Absent,-16.5,168.25,Oceanic,Austronesian,Simple Clauses
pai,Paiwan,2,Absent,22.5,120.8333333,Paiwan,Austronesian,Simple Clauses
pal,Palauan,1,Present,7.5,134.5833333,Palauan,Austronesian,Simple Clauses
plk,Palikur,1,Present,3,-51,Palikur,Arawakan,Simple Clauses
pny,Panyjima,1,Present,-22.83333333,118.4166667,Western Pama-Nyungan,Pama-Nyungan,Simple Clauses
psm,Passamaquoddy-Maliseet,1,Present,45,-67,Algonquian,Algic,Simple Clauses
pau,Paumarí,1,Present,-6,-64,Arauan,Arauan,Simple Clauses
pec,Pech,2,Absent,15,-85.5,Pech,Chibchan,Simple Clauses
prs,Persian,1,Present,32,54,Iranian,Indo-European,Simple Clauses
pip,Pipil,1,Present,13.83333333,-89.58333333,Aztecan,Uto-Aztecan,Simple Clauses
prh,Pirahã,2,Absent,-7,-62,Mura,Mura,Simple Clauses
pit,Pitjantjatjara,2,Absent,-26,130,Western Pama-Nyungan,Pama-Nyungan,Simple Clauses
pol,Polish,1,Present,52,20,Slavic,Indo-European,Simple Clauses
pso,Pomo (Southeastern),2,Absent,39,-122.5,Pomoan,Hokan,Simple Clauses
psj,Popoloca (San Juan Atzingo),1,Present,18.16666667,-96.41666667,Popolocan,Oto-Manguean,Simple Clauses
pur,Purépecha,2,Absent,19.5,-101.6666667,Tarascan,Tarascan,Simple Clauses
par,Päri,1,Present,5,32.5,Western Nilotic,Eastern Sudanic,Simple Clauses
qaw,Qawasqar,2,Absent,-49,-75,Alacalufan,Alacalufan,Simple Clauses
qim,Quechua (Imbabura),1,Present,0.333333333,-78,Quechuan,Quechuan,Simple Clauses
qui,Quileute,1,Present,47.91666667,-124.25,Chimakuan,Chimakuan,Simple Clauses
ram,Rama,2,Absent,11.75,-83.75,Rama,Chibchan,Simple Clauses
rap,Rapanui,2,Absent,-27.11666667,-109.3666667,Oceanic,Austronesian,Simple Clauses
rem,Remo,2,Absent,18,82,Munda,Austro-Asiatic,Simple Clauses
ret,Retuarã,2,Absent,-0.5,-70.66666667,Tucanoan,Tucanoan,Simple Clauses
rus,Russian,1,Present,56,38,Slavic,Indo-European,Simple Clauses
sah,Sahu,2,Absent,1.166666667,127.5,North Halmaheran,North Halmaheran,Simple Clauses
sal,Salinan,2,Absent,36,-121,Salinan,Hokan,Simple Clauses
syu,Salt-Yui,2,Absent,-6.283333333,145.0333333,Chimbu-Wahgi,Trans-New Guinea,Simple Clauses
sam,Samoan,2,Absent,-13.91666667,-171.8333333,Oceanic,Austronesian,Simple Clauses
san,Sango,2,Absent,5,18,Ubangi,Niger-Congo,Simple Clauses
snm,Sanuma,1,Present,4.5,-64.66666667,Yanomam,Yanomam,Simple Clauses
srm,Saramaccan,2,Absent,4.5,-55.5,Creoles and Pidgins,other,Simple Clauses
saw,Sawu,2,Absent,-11.5,121.9166667,Central Malayo-Polynesian,Austronesian,Simple Clauses
slp,Selepet,2,Absent,-6.166666667,147.1666667,Huon,Trans-New Guinea,Simple Clauses
sel,Selknam,2,Absent,-53,-70,Chonan Proper,Chonan,Simple Clauses
sem,Sema,2,Absent,26,94.5,Angami-Pochuri,Sino-Tibetan,Simple Clauses
sml,Semelai,1,Present,3,103,Aslian,Austro-Asiatic,Simple Clauses
snt,Sentani,2,Absent,-2.583333333,140.5833333,Sentanic,Sentanic,Simple Clauses
shk,Shipibo-Konibo,2,Absent,-7.5,-75,Panoan,Pano-Tacanan,Simple Clauses
siu,Siuslaw,1,Present,44,-124,Siuslawan,Oregon Coast,Simple Clauses
sla,Slave,1,Present,67,-125,Athapaskan,Na-Dene,Simple Clauses
so,So,1,Present,2.583333333,34.75,Kuliak,Eastern Sudanic,Simple Clauses
spa,Spanish,1,Present,40,-4,Romance,Indo-European,Simple Clauses
squ,Squamish,1,Present,49.66666667,-123.1666667,Central Salish,Salishan,Simple Clauses
sue,Suena,2,Absent,-7.75,147.55,Binanderean,Trans-New Guinea,Simple Clauses
sun,Sundanese,1,Present,-7,107,Malayo-Sumbawan,Austronesian,Simple Clauses
sup,Supyire,2,Absent,11.5,-5.583333333,Senufo,Niger-Congo,Simple Clauses
swa,Swahili,1,Present,-6.5,39,Bantu,Niger-Congo,Simple Clauses
tab,Taba,1,Present,0,127.5,South Halmahera - West New Guinea,Austronesian,Simple Clauses
tag,Tagalog,2,Absent,15,121,Greater Central Philippine,Austronesian,Simple Clauses
tap,Taiap,2,Absent,-4.083333333,144.5,Taiap,Taiap,Simple Clauses
tkl,Takelma,1,Present,42.5,-123,Takelma,Takelma,Simple Clauses
tau,Tauya,2,Absent,-5.75,145.3333333,Rai Coast,Trans-New Guinea,Simple Clauses
taw,Tawala,2,Absent,-10.33333333,150.6666667,Oceanic,Austronesian,Simple Clauses
tmr,Temiar,2,Absent,5,101.5,Aslian,Austro-Asiatic,Simple Clauses
tpn,Tepehuan (Northern),1,Present,26.33333333,-107,Tepiman,Uto-Aztecan,Simple Clauses
trb,Teribe,2,Absent,9.333333333,-82.66666667,Western Isthmic Chibchan,Chibchan,Simple Clauses
tha,Thai,1,Present,16,101,Kam-Tai,Tai-Kadai,Simple Clauses
tid,Tidore,2,Absent,0.75,127.5,North Halmaheran,North Halmaheran,Simple Clauses
tgk,Tigak,2,Absent,-2.716666667,150.8,Oceanic,Austronesian,Simple Clauses
tja,Tiipay (Jamul),2,Absent,32.16666667,-116.5,Yuman,Hokan,Simple Clauses
tin,Tinrin,1,Present,-21.66666667,165.75,Oceanic,Austronesian,Simple Clauses
tir,Tiriyo,2,Absent,3.25,-55.75,Cariban,Cariban,Simple Clauses
tiw,Tiwi,2,Absent,-11.5,131,Tiwian,Tiwian,Simple Clauses
tli,Tlingit,2,Absent,59,-135,Tlingit,Na-Dene,Simple Clauses
tol,Tol,2,Absent,14.66666667,-87,Tol,Tol,Simple Clauses
tla,Tolai,2,Absent,-4.25,152.0833333,Oceanic,Austronesian,Simple Clauses
tms,Tommo So,2,Absent,15,-3,Dogon,Dogon,Simple Clauses
ton,Tonkawa,2,Absent,30.25,-96.75,Tonkawa,Tonkawa,Simple Clauses
tot,Totonac (Misantla),2,Absent,19.91666667,-96.91666667,Totonacan,Totonacan,Simple Clauses
tri,Trique (Copala),2,Absent,17.16666667,-97.91666667,Trique,Oto-Manguean,Simple Clauses
tru,Trumai,2,Absent,-11.91666667,-53.58333333,Trumai,Trumai,Simple Clauses
tsi,Tsimshian (Coast),2,Absent,52.5,-129,Tsimshianic,Tsimshianic,Simple Clauses
tso,Tsou,2,Absent,23.5,120.75,Tsou,Austronesian,Simple Clauses
tuk,Tukang Besi,1,Present,-5.5,123.5,Celebic,Austronesian,Simple Clauses
tun,Tunica,2,Absent,32.66666667,-91,Tunica,Tunica,Simple Clauses
tna,Turkana,1,Present,3,35.5,Eastern Nilotic,Eastern Sudanic,Simple Clauses
tur,Turkish,1,Present,39,35,Turkic,Altaic,Simple Clauses
tzu,Tzutujil,1,Present,14.66666667,-91.33333333,Mayan,Mayan,Simple Clauses
udh,Udihe,1,Present,47.66666667,136.25,Tungusic,Altaic,Simple Clauses
uma,Uma,2,Absent,-1.833333333,120,Celebic,Austronesian,Simple Clauses
una,Una,2,Absent,-4.666666667,140,Mek,Trans-New Guinea,Simple Clauses
ung,Ungarinjin,2,Absent,-16.33333333,126,Worrorran,Worrorran,Simple Clauses
ura,Ura,2,Absent,-18.66666667,169.0833333,Oceanic,Austronesian,Simple Clauses
uhi,Uradhi,2,Absent,-11.91666667,142.4166667,Northern Pama-Nyungan,Pama-Nyungan,Simple Clauses
urk,Urubú-Kaapor,2,Absent,-2.333333333,-46.5,Maweti-Guarani,Tupian,Simple Clauses
usa,Usan,2,Absent,-4.833333333,145.1666667,North Adelbert,Trans-New Guinea,Simple Clauses
vie,Vietnamese,1,Present,10.5,106.5,Vietic,Austro-Asiatic,Simple Clauses
wam,Wambaya,2,Absent,-18.66666667,135.75,Wambayan,Mirndi,Simple Clauses
wbn,Wambon,2,Absent,-5.5,140.4166667,Dumut,Trans-New Guinea,Simple Clauses
wao,Waorani,2,Absent,-1,-76.5,Waorani,Waorani,Simple Clauses
wap,Wappo,1,Present,38.5,-122.5,Wappo,Wappo-Yukian,Simple Clauses
wra,Warao,1,Present,9.333333333,-61.66666667,Warao,Warao,Simple Clauses
wrd,Wardaman,2,Absent,-15.5,131,Yangmanic,Yangmanic,Simple Clauses
wrk,Warekena,2,Absent,1.5,-67.5,Alto-Orinoco,Arawakan,Simple Clauses
war,Wari',1,Present,-11.33333333,-65,Chapacura-Wanham,Chapacura-Wanham,Simple Clauses
was,Washo,2,Absent,39.25,-120,Washo,Washo,Simple Clauses
wsk,Waskia,2,Absent,-4.5,146,Kowan,Trans-New Guinea,Simple Clauses
wel,Welsh,1,Present,52,-3,Celtic,Indo-European,Simple Clauses
wma,West Makian,2,Absent,0.5,127.5833333,North Halmaheran,North Halmaheran,Simple Clauses
wic,Wichita,2,Absent,33.33333333,-97.33333333,Northern Caddoan,Caddoan,Simple Clauses
wch,Wichí,2,Absent,-22.5,-62.58333333,Matacoan,Matacoan,Simple Clauses
wik,Wikchamni,1,Present,36.41666667,-119.0833333,Yokuts,Penutian,Simple Clauses
win,Wintu,1,Present,41,-122.5,Wintuan,Penutian,Simple Clauses
yag,Yagua,2,Absent,-3.5,-72,Peba-Yaguan,Peba-Yaguan,Simple Clauses
yap,Yapese,2,Absent,9.583333333,138.1666667,Yapese,Austronesian,Simple Clauses
yaq,Yaqui,1,Present,27.5,-110.25,Cahita,Uto-Aztecan,Simple Clauses
yel,Yelî Dnye,2,Absent,-11.36666667,154.1666667,Yele,Yele,Simple Clauses
yes,Yessan-Mayo,2,Absent,-4.166666667,142.5833333,Tama Sepik,Sepik,Simple Clauses
yid,Yidiny,2,Absent,-17,145.75,Northern Pama-Nyungan,Pama-Nyungan,Simple Clauses
yim,Yimas,2,Absent,-4.666666667,143.55,Lower Sepik,Ramu-Lower Sepik,Simple Clauses
yor,Yoruba,2,Absent,8,4.333333333,Defoid,Niger-Congo,Simple Clauses
yuc,Yuchi,2,Absent,35.75,-86.75,Yuchi,Yuchi,Simple Clauses
yko,Yukaghir (Kolyma),2,Absent,65.75,150.8333333,Yukaghir,Yukaghir,Simple Clauses
yuk,Yukulta,1,Present,-17.33333333,138.8333333,Tangkic,Tangkic,Simple Clauses
ypk,Yup'ik (Central),2,Absent,59.5,-160,Eskimo,Eskimo-Aleut,Simple Clauses
yur,Yurok,1,Present,41.33333333,-124,Yurok,Algic,Simple Clauses
zan,Zande,1,Present,4,26,Ubangi,Niger-Congo,Simple Clauses
zqc,Zoque (Copainalá),2,Absent,17,-93.25,Mixe-Zoque,Mixe-Zoque,Simple Clauses
zul,Zulu,1,Present,-30,30,Bantu,Niger-Congo,Simple Clauses
zun,Zuni,1,Present,35.08333333,-108.8333333,Zuni,Zuni,Simple Clauses
